@relation accelerometer_features

@attribute fft_coef_0000 numeric
@attribute fft_coef_0001 numeric
@attribute fft_coef_0002 numeric
@attribute fft_coef_0003 numeric
@attribute fft_coef_0004 numeric
@attribute fft_coef_0005 numeric
@attribute fft_coef_0006 numeric
@attribute fft_coef_0007 numeric
@attribute fft_coef_0008 numeric
@attribute fft_coef_0009 numeric
@attribute fft_coef_0010 numeric
@attribute fft_coef_0011 numeric
@attribute fft_coef_0012 numeric
@attribute fft_coef_0013 numeric
@attribute fft_coef_0014 numeric
@attribute fft_coef_0015 numeric
@attribute fft_coef_0016 numeric
@attribute fft_coef_0017 numeric
@attribute fft_coef_0018 numeric
@attribute fft_coef_0019 numeric
@attribute fft_coef_0020 numeric
@attribute fft_coef_0021 numeric
@attribute fft_coef_0022 numeric
@attribute fft_coef_0023 numeric
@attribute fft_coef_0024 numeric
@attribute fft_coef_0025 numeric
@attribute fft_coef_0026 numeric
@attribute fft_coef_0027 numeric
@attribute fft_coef_0028 numeric
@attribute fft_coef_0029 numeric
@attribute fft_coef_0030 numeric
@attribute fft_coef_0031 numeric
@attribute fft_coef_0032 numeric
@attribute fft_coef_0033 numeric
@attribute fft_coef_0034 numeric
@attribute fft_coef_0035 numeric
@attribute fft_coef_0036 numeric
@attribute fft_coef_0037 numeric
@attribute fft_coef_0038 numeric
@attribute fft_coef_0039 numeric
@attribute fft_coef_0040 numeric
@attribute fft_coef_0041 numeric
@attribute fft_coef_0042 numeric
@attribute fft_coef_0043 numeric
@attribute fft_coef_0044 numeric
@attribute fft_coef_0045 numeric
@attribute fft_coef_0046 numeric
@attribute fft_coef_0047 numeric
@attribute fft_coef_0048 numeric
@attribute fft_coef_0049 numeric
@attribute fft_coef_0050 numeric
@attribute fft_coef_0051 numeric
@attribute fft_coef_0052 numeric
@attribute fft_coef_0053 numeric
@attribute fft_coef_0054 numeric
@attribute fft_coef_0055 numeric
@attribute fft_coef_0056 numeric
@attribute fft_coef_0057 numeric
@attribute fft_coef_0058 numeric
@attribute fft_coef_0059 numeric
@attribute fft_coef_0060 numeric
@attribute fft_coef_0061 numeric
@attribute fft_coef_0062 numeric
@attribute fft_coef_0063 numeric
@attribute max numeric
@attribute label {standing,walking,running,others}

@data
20.374718,2.362125,3.639984,1.926172,2.154741,2.236529,1.59003,0.211141,0.14155,0.74676,0.390144,0.188563,0.253731,0.504993,0.837459,0.532099,0.30218,0.404089,0.226078,0.293102,0.252042,0.282428,0.150344,0.217306,0.208697,0.427991,0.297115,0.450349,0.228638,0.490812,0.344453,0.560516,0.10552,0.560516,0.344453,0.490812,0.228638,0.450349,0.297115,0.427991,0.208697,0.217306,0.150344,0.282428,0.252042,0.293102,0.226078,0.404089,0.30218,0.532099,0.837459,0.504993,0.253731,0.188563,0.390144,0.74676,0.14155,0.211141,1.59003,2.236529,2.154741,1.926172,3.639984,2.362125,0.62995,standing
143.20493,37.172883,24.612129,14.544456,6.458607,10.261361,3.485403,5.743921,1.132985,6.442256,3.790688,1.983344,3.609904,1.462733,2.056951,3.091197,1.538483,1.51179,1.921477,1.701691,0.630365,2.226562,1.505656,0.649905,1.899283,0.59997,1.427598,1.178352,1.491043,1.677365,1.086778,1.781446,0.758017,1.781446,1.086778,1.677365,1.491043,1.178352,1.427598,0.59997,1.899283,0.649905,1.505656,2.226562,0.630365,1.701691,1.921477,1.51179,1.538483,3.091197,2.056951,1.462733,3.609904,1.983344,3.790688,6.442256,1.132985,5.743921,3.485403,10.261361,6.458607,14.544456,24.612129,37.172883,3.734156,standing
93.807948,8.614884,3.181977,17.706037,8.832952,8.217138,8.249411,10.448833,5.564198,2.176795,4.049158,1.590572,4.881523,4.835441,0.199238,1.730104,3.855344,1.431395,1.789109,4.535001,1.563193,1.734051,1.663536,2.001926,2.10859,1.290312,2.666004,2.149963,0.198387,0.980279,1.343091,1.170768,0.866904,1.170768,1.343091,0.980279,0.198387,2.149963,2.666004,1.290312,2.10859,2.001926,1.663536,1.734051,1.563193,4.535001,1.789109,1.431395,3.855344,1.730104,0.199238,4.835441,4.881523,1.590572,4.049158,2.176795,5.564198,10.448833,8.249411,8.217138,8.832952,17.706037,3.181977,8.614884,3.303054,standing
73.873082,42.491632,20.136814,19.421975,18.929177,20.642577,18.987502,14.912695,13.081265,11.096671,5.720902,4.590196,2.113795,2.758258,2.537932,2.378445,2.405794,4.002619,3.834834,2.867955,3.206431,2.871714,2.57878,1.966088,2.657977,2.907003,2.668899,2.270213,1.786673,0.506588,1.276357,2.172242,2.710862,2.172242,1.276357,0.506588,1.786673,2.270213,2.668899,2.907003,2.657977,1.966088,2.57878,2.871714,3.206431,2.867955,3.834834,4.002619,2.405794,2.378445,2.537932,2.758258,2.113795,4.590196,5.720902,11.096671,13.081265,14.912695,18.987502,20.642577,18.929177,19.421975,20.136814,42.491632,6.361628,standing
17.609884,2.15748,1.773709,2.287621,1.489712,2.088635,2.265276,0.506751,0.434126,1.382905,1.465734,0.808577,0.656232,0.417348,0.372818,0.971472,1.111166,0.406842,0.440897,0.399293,0.321405,0.653197,0.129061,0.545735,0.806494,0.325961,0.249803,0.407729,0.246845,0.114491,0.156475,0.076742,0.351699,0.076742,0.156475,0.114491,0.246845,0.407729,0.249803,0.325961,0.806494,0.545735,0.129061,0.653197,0.321405,0.399293,0.440897,0.406842,1.111166,0.971472,0.372818,0.417348,0.656232,0.808577,1.465734,1.382905,0.434126,0.506751,2.265276,2.088635,1.489712,2.287621,1.773709,2.15748,0.564284,standing
14.123369,1.39984,0.56487,1.65047,1.063432,1.891393,0.71041,1.063306,0.363541,1.502705,0.867491,0.470795,0.302126,0.814444,0.391729,0.654171,0.564372,0.45205,0.299052,0.19071,0.373951,0.322878,0.513852,0.310784,0.142678,0.123003,0.057384,0.084663,0.019858,0.07917,0.064088,0.103102,0.3682,0.103102,0.064088,0.07917,0.019858,0.084663,0.057384,0.123003,0.142678,0.310784,0.513852,0.322878,0.373951,0.19071,0.299052,0.45205,0.564372,0.654171,0.391729,0.814444,0.302126,0.470795,0.867491,1.502705,0.363541,1.063306,0.71041,1.891393,1.063432,1.65047,0.56487,1.39984,0.455139,standing
13.535243,1.166285,0.606761,0.800277,0.977936,1.445972,1.723028,1.118487,1.276328,0.996404,0.772751,0.708641,0.819544,1.0273,0.292268,0.310835,0.402729,0.702229,0.337535,0.298749,0.265724,0.412305,0.490169,0.410736,0.201408,0.147305,0.251119,0.251227,0.097388,0.264139,0.251152,0.261537,0.055982,0.261537,0.251152,0.264139,0.097388,0.251227,0.251119,0.147305,0.201408,0.410736,0.490169,0.412305,0.265724,0.298749,0.337535,0.702229,0.402729,0.310835,0.292268,1.0273,0.819544,0.708641,0.772751,0.996404,1.276328,1.118487,1.723028,1.445972,0.977936,0.800277,0.606761,1.166285,0.388812,standing
33.552005,3.714954,5.122609,3.786228,2.903065,3.722364,0.901628,2.877592,0.07841,0.743961,0.185654,0.287186,0.169028,0.704636,0.26877,0.070831,0.343872,0.545859,0.309722,0.044897,0.165775,0.478228,0.37524,0.156961,0.196184,0.408666,0.368236,0.198155,0.179114,0.483823,0.294017,0.11124,0.169542,0.11124,0.294017,0.483823,0.179114,0.198155,0.368236,0.408666,0.196184,0.156961,0.37524,0.478228,0.165775,0.044897,0.309722,0.545859,0.343872,0.070831,0.26877,0.704636,0.169028,0.287186,0.185654,0.743961,0.07841,2.877592,0.901628,3.722364,2.903065,3.786228,5.122609,3.714954,1.066331,standing
31.552307,5.941676,1.250862,5.357098,2.051157,2.320842,0.769229,1.438046,0.618487,1.069396,1.010832,0.519189,1.20595,0.622568,0.891649,0.227047,0.496489,0.05406,0.36019,0.561414,0.373405,0.227245,0.185118,0.529317,0.410093,0.141104,0.559879,0.496869,0.166932,0.107487,0.16606,0.079214,0.201218,0.079214,0.16606,0.107487,0.166932,0.496869,0.559879,0.141104,0.410093,0.529317,0.185118,0.227245,0.373405,0.561414,0.36019,0.05406,0.496489,0.227047,0.891649,0.622568,1.20595,0.519189,1.010832,1.069396,0.618487,1.438046,0.769229,2.320842,2.051157,5.357098,1.250862,5.941676,0.84413,standing
28.657777,2.0561,2.920056,3.835447,2.935534,1.903126,1.946134,0.220428,0.763473,0.550084,0.550182,0.549413,0.461199,0.331162,0.545784,0.139358,0.412005,0.214829,0.323639,0.076591,0.114944,0.175921,0.016629,0.275986,0.176092,0.256653,0.066099,0.171886,0.09962,0.094173,0.079762,0.051137,0.275714,0.051137,0.079762,0.094173,0.09962,0.171886,0.066099,0.256653,0.176092,0.275986,0.016629,0.175921,0.114944,0.076591,0.323639,0.214829,0.412005,0.139358,0.545784,0.331162,0.461199,0.549413,0.550182,0.550084,0.763473,0.220428,1.946134,1.903126,2.935534,3.835447,2.920056,2.0561,0.746794,standing
